COUNTYNAME,DATETIME,DATE,LON,LAT,PK
Burlington,3/31/2013 4:26:26 PM,3/31/2013,-75.03671,40.00273,0
Camden,3/31/2013 3:44:22 PM,3/31/2013,-74.87061,39.64768,1
Atlantic,1/1/2013 3:07:51 PM,1/1/2013,-74.42123,39.36292,2
Atlantic,3/31/2013 3:11:58 PM,3/31/2013,-74.43227,39.36041,3
Atlantic,5/12/2013 8:39:46 PM,5/12/2013,-74.82874,39.61445,4
Atlantic,6/16/2013 6:12:25 PM,6/16/2013,-74.77467,39.57811,5
Camden,8/15/2013 2:15:26 PM,8/15/2013,-75.08126,39.93473,6
Camden,2/14/2013 1:06:26 PM,2/14/2013,-74.92217,39.8521,7
Camden,6/16/2013 6:21:51 PM,6/16/2013,-74.87026,39.64746,8
Camden,2/11/2013 6:25:14 PM,2/11/2013,-75.02466,39.96301,9
Camden,3/31/2013 3:44:22 PM,3/31/2013,-74.87061,39.64768,10
Camden,9/2/2013 12:05:23 PM,9/2/2013,-74.90117,39.71769,11
Burlington,12/12/2013 10:03:08 PM,12/12/2013,-74.94094,39.9109,12
Burlington,8/6/2013 9:13:39 PM,8/6/2013,-75.01077,39.97573,13
Atlantic,3/31/2013 3:16:59 PM,3/31/2013,-74.44037,39.36238,14
Camden,6/20/2013 2:19:23 PM,6/20/2013,-75.07761,39.93623,15
Camden,2/14/2013 6:13:07 PM,2/14/2013,-74.9286,39.82172,16
Atlantic,9/2/2013 5:15:09 PM,9/2/2013,-74.7886,39.58722,17
Atlantic,5/12/2013 12:55:39 PM,5/12/2013,-74.68816,39.51448,18
Atlantic,12/31/2013 7:21:35 PM,12/31/2013,-74.44183,39.36277,19
Burlington,3/31/2013 4:26:51 PM,3/31/2013,-75.03771,40.00592,20
Camden,12/27/2013 3:26:54 PM,12/27/2013,-75.03039,39.93676,21
Camden,6/16/2013 6:57:09 PM,6/16/2013,-74.92728,39.82794,22
Camden,1/25/2014 2:59:00 PM,1/25/2014,-75.02892,39.94297,23
Burlington,9/2/2013 11:27:31 AM,9/2/2013,-75.00741,39.97172,24
Camden,1/25/2014 2:52:53 PM,1/25/2014,-75.03043,39.93685,25
Camden,8/6/2013 8:44:14 PM,8/6/2013,-74.91815,39.79249,26
Camden,2/11/2013 6:45:55 PM,2/11/2013,-75.02289,39.98757,27
Burlington,9/2/2013 11:26:50 AM,9/2/2013,-75.01274,39.97774,28
Camden,3/22/2013 5:26:49 PM,3/22/2013,-75.023,39.98743,29
Camden,5/12/2013 12:43:39 PM,5/12/2013,-74.87712,39.65149,30
Camden,6/20/2013 1:58:57 PM,6/20/2013,-75.10394,39.94146,31
Atlantic,1/1/2013 5:04:43 PM,1/1/2013,-74.43718,39.35937,32
Camden,12/31/2013 6:33:02 PM,12/31/2013,-74.87992,39.66241,33
Atlantic,1/1/2013 5:01:24 PM,1/1/2013,-74.43026,39.36155,34
Atlantic,11/28/2013 3:25:21 PM,11/28/2013,-74.43285,39.35828,35
Burlington,3/31/2013 4:14:09 PM,3/31/2013,-74.98765,39.95663,36
Burlington,6/16/2013 7:06:52 PM,6/16/2013,-74.93789,39.90642,37
Atlantic,12/12/2013 4:19:15 PM,12/12/2013,-74.43971,39.35736,38
Atlantic,5/12/2013 8:33:06 PM,5/12/2013,-74.71495,39.53604,39
Burlington,2/14/2013 12:51:31 PM,2/14/2013,-74.95988,39.93077,40
Camden,11/28/2013 8:33:54 PM,11/28/2013,-74.8928,39.69455,41
Camden,6/20/2013 2:36:51 PM,6/20/2013,-75.02714,39.99189,42
Atlantic,3/31/2013 3:10:08 PM,3/31/2013,-74.4237,39.36395,43
Burlington,6/20/2013 2:47:15 PM,6/20/2013,-75.0364,40.00166,44
Atlantic,2/14/2013 5:18:25 PM,2/14/2013,-74.43305,39.36007,45
Camden,12/27/2013 3:19:21 PM,12/27/2013,-75.02948,39.94046,46
Atlantic,3/31/2013 2:15:39 PM,3/31/2013,-74.41996,39.36388,47
Burlington,1/25/2014 2:41:28 PM,1/25/2014,-75.0368,40.00227,48
Burlington,10/14/2013 8:47:57 PM,10/14/2013,-74.96661,39.93534,49
Burlington,3/31/2013 4:08:30 PM,3/31/2013,-74.93845,39.90719,50
Burlington,3/31/2013 4:13:17 PM,3/31/2013,-74.98389,39.9468,51
Burlington,12/12/2013 10:04:16 PM,12/12/2013,-74.94173,39.9122,52
Camden,5/12/2013 9:11:00 PM,5/12/2013,-74.92215,39.85182,53
Atlantic,3/31/2013 3:14:52 PM,3/31/2013,-74.43645,39.35877,54
Camden,2/14/2013 6:13:48 PM,2/14/2013,-74.92726,39.82779,55
Atlantic,2/14/2013 3:58:18 PM,2/14/2013,-74.42135,39.36286,56
Atlantic,3/31/2013 2:15:22 PM,3/31/2013,-74.4206,39.36413,57
Atlantic,12/12/2013 4:16:17 PM,12/12/2013,-74.43117,39.35879,58
Camden,1/25/2014 2:50:03 PM,1/25/2014,-75.02811,39.94746,59
Camden,12/12/2013 2:04:49 PM,12/12/2013,-74.93177,39.80306,60
Burlington,1/1/2013 6:06:08 PM,1/1/2013,-74.93745,39.90583,61
Atlantic,2/14/2013 5:15:57 PM,2/14/2013,-74.42244,39.36434,62
Camden,5/12/2013 8:49:55 PM,5/12/2013,-74.91036,39.74464,63
Atlantic,6/16/2013 12:47:55 PM,6/16/2013,-74.4201,39.36446,64
Camden,2/11/2013 6:23:55 PM,2/11/2013,-75.02726,39.95112,65
Burlington,1/25/2014 2:41:28 PM,1/25/2014,-75.0368,40.00227,66
Atlantic,3/31/2013 3:12:58 PM,3/31/2013,-74.43359,39.35984,67
Camden,10/14/2013 2:39:46 PM,10/14/2013,-74.91033,39.74401,68
Camden,8/15/2013 2:17:39 PM,8/15/2013,-75.08373,39.92958,69
Atlantic,1/1/2014 1:47:28 PM,1/1/2014,-74.42342,39.36397,70
Atlantic,6/16/2013 6:12:43 PM,6/16/2013,-74.77677,39.57948,71
Camden,9/2/2013 6:13:25 PM,9/2/2013,-74.92728,39.82772,72
Burlington,2/14/2013 12:48:33 PM,2/14/2013,-74.96513,39.93427,73
Camden,1/25/2014 2:53:19 PM,1/25/2014,-75.02901,39.93617,74
Camden,6/20/2013 2:17:39 PM,6/20/2013,-75.08252,39.93313,75
Atlantic,6/16/2013 5:45:48 PM,6/16/2013,-74.435,39.35856,76
Camden,2/14/2013 1:29:57 PM,2/14/2013,-74.91077,39.78796,77
Camden,8/23/2013 2:08:30 PM,8/23/2013,-75.02679,39.95359,78
Atlantic,6/16/2013 2:09:05 PM,6/16/2013,-74.42088,39.36404,79
Camden,10/14/2013 8:23:56 PM,10/14/2013,-74.91567,39.79106,80
Burlington,11/28/2013 9:09:24 PM,11/28/2013,-74.93833,39.90695,81
Atlantic,3/31/2013 3:09:30 PM,3/31/2013,-74.42247,39.36445,82
Camden,9/2/2013 11:41:22 AM,9/2/2013,-74.92785,39.82572,83
Burlington,12/12/2013 12:55:07 PM,12/12/2013,-75.02933,39.99365,84
Burlington,12/12/2013 10:15:33 PM,12/12/2013,-74.96583,39.93479,85
Burlington,10/14/2013 2:03:43 PM,10/14/2013,-75.00094,39.96572,86
Atlantic,12/12/2013 2:58:01 PM,12/12/2013,-74.42079,39.36548,87
Camden,2/11/2013 6:21:26 PM,2/11/2013,-75.02713,39.9449,88
Camden,5/12/2013 8:52:42 PM,5/12/2013,-74.90992,39.78066,89
Atlantic,9/2/2013 12:41:38 PM,9/2/2013,-74.4357,39.36096,90
Burlington,6/16/2013 11:27:52 AM,6/16/2013,-74.93966,39.90846,91
Camden,5/12/2013 12:13:48 PM,5/12/2013,-74.92986,39.81603,92
Camden,6/16/2013 12:13:38 PM,6/16/2013,-74.87243,39.64982,93
Camden,9/2/2013 11:41:16 AM,9/2/2013,-74.92765,39.82662,94
Camden,1/25/2014 2:50:03 PM,1/25/2014,-75.02811,39.94746,95
Burlington,3/31/2013 4:08:30 PM,3/31/2013,-74.93845,39.90719,96
Burlington,3/31/2013 4:13:17 PM,3/31/2013,-74.98389,39.9468,97
Atlantic,10/14/2013 3:00:12 PM,10/14/2013,-74.68834,39.51461,98
Camden,6/20/2013 2:28:48 PM,6/20/2013,-75.05476,39.95914,99
Atlantic,2/14/2013 1:50:28 PM,2/14/2013,-74.74808,39.55911,100
Atlantic,6/16/2013 6:15:54 PM,6/16/2013,-74.79457,39.59125,101
Camden,2/11/2013 3:27:00 PM,2/11/2013,-75.02415,39.9655,102
Camden,6/20/2013 2:30:04 PM,6/20/2013,-75.04505,39.96856,103
Camden,3/31/2013 4:01:57 PM,3/31/2013,-74.92365,39.84475,104
Camden,2/11/2013 6:21:26 PM,2/11/2013,-75.02713,39.9449,105
Camden,5/10/2013 5:46:29 PM,5/10/2013,-75.02283,39.98761,106
Camden,3/31/2013 3:51:35 PM,3/31/2013,-74.91002,39.74351,107
Atlantic,5/12/2013 8:29:48 PM,5/12/2013,-74.67415,39.50501,108
Camden,3/31/2013 3:54:16 PM,3/31/2013,-74.90965,39.78239,109
Camden,2/11/2013 3:32:54 PM,2/11/2013,-75.02806,39.93662,110
Burlington,10/14/2013 1:59:41 PM,10/14/2013,-75.03937,40.00729,111
Burlington,8/6/2013 9:09:51 PM,8/6/2013,-74.98466,39.94733,112
Atlantic,12/12/2013 2:57:41 PM,12/12/2013,-74.42194,39.36658,113
Camden,1/25/2014 5:59:38 PM,1/25/2014,-75.01726,39.97972,114
Burlington,8/15/2013 4:33:16 PM,8/15/2013,-75.03605,40.00062,115
Camden,5/10/2013 2:33:07 PM,5/10/2013,-75.02861,39.93644,116
Burlington,2/14/2013 12:44:38 PM,2/14/2013,-74.98716,39.95084,117
Atlantic,3/31/2013 3:16:19 PM,3/31/2013,-74.43872,39.36051,118
Burlington,11/28/2013 9:06:20 PM,11/28/2013,-74.92222,39.88536,119
Camden,6/20/2013 1:57:25 PM,6/20/2013,-75.08263,39.93501,120
Camden,8/15/2013 3:53:16 PM,8/15/2013,-74.93065,39.81056,121
Burlington,5/12/2013 11:54:40 AM,5/12/2013,-75.03989,40.00795,122
Camden,12/12/2013 9:32:39 PM,12/12/2013,-74.90999,39.76259,123
Camden,5/10/2013 5:31:32 PM,5/10/2013,-75.01622,39.98151,124
Atlantic,3/31/2013 3:10:08 PM,3/31/2013,-74.4237,39.36395,125
Atlantic,6/16/2013 5:47:54 PM,6/16/2013,-74.43836,39.35997,126
Camden,12/27/2013 3:23:54 PM,12/27/2013,-75.0271,39.94639,127
Burlington,11/28/2013 9:09:37 PM,11/28/2013,-74.93934,39.90818,128
Camden,11/28/2013 9:01:24 PM,11/28/2013,-74.92702,39.82912,129
Atlantic,6/16/2013 2:13:26 PM,6/16/2013,-74.43259,39.35861,130
Atlantic,9/2/2013 5:15:46 PM,9/2/2013,-74.79058,39.58853,131
Camden,2/11/2013 6:22:07 PM,2/11/2013,-75.02806,39.94419,132
Camden,6/16/2013 12:08:08 PM,6/16/2013,-74.90167,39.71898,133
Burlington,3/31/2013 4:26:26 PM,3/31/2013,-75.03671,40.00273,134
Camden,11/28/2013 12:55:36 PM,11/28/2013,-74.92792,39.82551,135
Burlington,6/20/2013 1:46:25 PM,6/20/2013,-75.04039,40.00858,136
Camden,8/6/2013 11:32:23 AM,8/6/2013,-75.02329,39.98835,137
Atlantic,6/16/2013 2:12:56 PM,6/16/2013,-74.43095,39.35913,138
Camden,8/23/2013 5:11:12 PM,8/23/2013,-75.02174,39.988,139
Atlantic,2/14/2013 3:59:16 PM,2/14/2013,-74.41987,39.36373,140
Atlantic,2/14/2013 5:15:08 PM,2/14/2013,-74.42069,39.36392,141
Atlantic,3/31/2013 3:14:52 PM,3/31/2013,-74.43645,39.35877,142
Burlington,11/28/2013 9:17:20 PM,11/28/2013,-75.0109,39.97579,143
Camden,5/10/2013 2:23:48 PM,5/10/2013,-75.02811,39.94725,144
Atlantic,6/16/2013 12:41:37 PM,6/16/2013,-74.44235,39.36293,145
Camden,2/14/2013 1:25:42 PM,2/14/2013,-74.93045,39.8125,146
Burlington,10/14/2013 2:08:49 PM,10/14/2013,-74.96225,39.93232,147
Camden,1/25/2014 2:58:33 PM,1/25/2014,-75.02961,39.94008,148
Camden,2/11/2013 6:23:48 PM,2/11/2013,-75.02747,39.95014,149
Camden,6/20/2013 2:30:32 PM,6/20/2013,-75.04153,39.9717,150
Atlantic,2/14/2013 5:19:18 PM,2/14/2013,-74.43619,39.3587,151
Atlantic,3/31/2013 3:15:47 PM,3/31/2013,-74.43743,39.35911,152
Burlington,1/1/2013 6:06:14 PM,1/1/2013,-74.93819,39.90674,153
Atlantic,1/1/2013 4:55:08 PM,1/1/2013,-74.42851,39.36205,154
Camden,3/22/2013 5:00:40 PM,3/22/2013,-75.0288,39.93751,155
